Project Name,Description,Country,Country Code,Standard Version,Project Developer,Scale,Type,Crediting Period,Status,Methodology,Annual Estimated Credits,GS ID,POA GS ID,Document URL
Solar Power Project in Rajasthan,"The purpose of the proposed project is to generate electricity by utilizing clean solar energy and to reduce the greenhouse gas emissions, which otherwise would have been emitted by the existing fossil fuel based power plants connected to the NEWNE grid (currently this NEWNE grid and Southern grid are synchronized and becomes single grid as Indian Grid) in India or the addition of similar kind of fossil fuel based power plants. The NEWNE grid is dominated by coal fired thermal power plants. In absence of the project activity, equivalent amount of power would have been generated and supplied by NEWNE grid to which the proposed project is connected. The project activity is expected to reduce on an average 34,261 tonnes/ annum of CO2 annually over the ten years crediting period.",India,IN,Gold Standard for the Global Goals,EKI Energy Services Limited,Large Scale,Solar Thermal - Electricity,2015-04-12 - 2023-04-03,GOLD_STANDARD_CERTIFIED_PROJECT,ACM0002 Grid-connected electricity generation from renewable sources,34261,N/A,N/A,https://platform.sustain-cert.com/public-project/1466
Renewable Energy Project by Pramatha Power Pvt Ltd Goa EKIESL CDM April 16 04,"The main purpose of this project activity is to generate clean form of electricity through renewable solar energy source. Pramatha Power Pvt. Ltd. and Agrawal Solar Power Ventures (Rajasthan) Pvt. Ltd. are the promoters of the proposed project activity. The project activity involves installation of 14 MWp Solar PV power project at Chikballapur, Karnataka and Jodhpur, Rajasthan. The project will replace anthropogenic emissions of greenhouse gases (GHG’s) estimated to be approximately 23,546 tCO2e per year, thereon displacing 24,085 MWh/year amount of electricity from the generation-mix of power plants connected to the INDIAN Electricity grid, which is mainly dominated by thermal/ fossil fuel based power plant.The electricity generated from the project activity will be exported to the state grid of Karnataka which is part of the Southern regional grid of India and sold to Bangalore Electricity Supply Company Limited (BESCOM) under a power purchase agreement. The project is expected to be commissioned on 14th July, 2016. The electricity generated from the 3 MW Solar PV Plant at Jodhpur district of Rajasthan will be sold to Third Party under a formal Power Purchase Agreement which will be applicable for entire lifetime of the project activity. The electricity sold to third party is transmitted through INDIAN electricity grid. The purpose of the project activity is to utilize renewable solar energy for generation of electricity.",India,IN,Gold Standard for the Global Goals,EKI Energy Services Limited,Small Scale,Solar Thermal - Electricity,2017-05-15 - 2022-05-14,GOLD_STANDARD_CERTIFIED_DESIGN,AMS-I.D. Grid connected renewable electricity generation,21036,N/A,N/A,https://platform.sustain-cert.com/public-project/1464
Bundled Solar Power Project by Emami Power Limited,"Emami Cement Limited is one of the group companies with main objectives inter-alia to set up cement and power plant, proposes to develop 13 MW grid connected solar PV power project in Karnataka & Tamil Nadu states in India. The bundled project activity involves installation of 3 MW project at village Perunali, District – Ramanathpuram in Tamil Nadu & 10 MW project at village Nerulakunte, District – Tumkur in Karnataka. Bundled project activity is expected to supply 22,967 MWh of net electricity annually. The entire power generated from this project activity will be sold to state grid by connecting it to regional grid i.e. Southern grid",India,IN,Gold Standard for the Global Goals,EKI Energy Services Limited,Small Scale,Solar Thermal - Electricity,2020-12-31 - 2025-12-30,GOLD_STANDARD_CERTIFIED_PROJECT,AMS-I.D. Grid connected renewable electricity generation,21633,N/A,N/A,https://platform.sustain-cert.com/public-project/1462
5MW Solar PV Power Plant by AEPL,"Amrit Energy Private Limited (AEPL) is implementing 5 MW solar photovoltaic technology based power project in Village-Gulabpura in Bhilwara district of Rajasthan. The electricity generated from the project activity will be exported to North-East-West-North East (NEWNE) Grid and sold to NTPC Vidyut Vyapar Nigam Limited (NVVN) under a power purchase agreement. AEPL is using thin film Cadmium Telluride (CdTe) solar photovoltaic technology for power generation. The expected annual net electricity delivered to the grid by the proposed project activity is 9,128 MWh. The estimated annual average and total GHG emission reductions are 8,697 tCO2e and 60,879 tCO2e respectively over the chosen renewable crediting period of seven years",India,IN,Gold Standard for the Global Goals,Fortum India Private Limited,Small Scale,Solar Thermal - Electricity,2020-04-12 - 2025-04-11,GOLD_STANDARD_CERTIFIED_PROJECT,AMS-I.D. Grid connected renewable electricity generation,9950,N/A,N/A,https://platform.sustain-cert.com/public-project/1461
Grid connected Solar PV project in Méouane,"The “Grid-connected Solar PV project in Méouane"" involves the construction and operation of a solar photovoltaic plant of 29.49 MWp in Méouane, department of Tivaouane, region of Thies, Senegal. The solar power plant will cover an area of 64 hectares, and will be equipped with 92,160 modules of 320 kWp each. It will be connected to the national grid",Senegal,SN,Gold Standard for the Global Goals,AERA Group,Large Scale,Solar Thermal - Electricity,2022-07-28 - 2027-07-27,GOLD_STANDARD_CERTIFIED_PROJECT,ACM0002 Grid-connected electricity generation from renewable sources,34506,N/A,N/A,https://platform.sustain-cert.com/public-project/1459
Orb Energy Solar Program in India VPA02,"The purpose of this VPA is dissemination of solar thermal (water heating) and electrical (lighting and other needs) systems in rural and urban/semi-urban areas in Karnataka, India. The proposed VPA through dissemination of solar water heaters (SWH) and solar photovoltaics based electrical systems (SPV) will utilize the energy from the sun and convert it into thermal and electrical energy respectively to replace the fossil fuel that would have been used otherwise to meet equivalent energy demands in the baseline. The households/SMEs in India meet their energy needs from grid electricity, kerosene, LPG, diesel and wood (non-renewable) which are used as energy sources for electrical and thermal energy needs. The energy baseline is the fossil/non renewable fuel consumption that would have been used in the absence of the project activity to generate equivalent quantity of energy needed for electric and thermal applications per household/facility. Thus, replacement of fossil fuel usage will contribute towards reducing equivalent GHG emissions.This is a conversion of existing small scale GS project (GS ID 696) to a small scale VPA under subject PoA",India,IN,Gold Standard for the Global Goals,Orb Energy Private Limited,Small Scale,Solar Thermal - Electricity,2010-09-20 - 2020-09-19,GOLD_STANDARD_CERTIFIED_PROJECT,AMS-I.C. Thermal energy production with or without electricity,19260,4289,1349,https://platform.sustain-cert.com/public-project/1457
Solar Power Project by Fortum FinnSurya EKIESL CDM February 15 01,"The main purpose of this project activity is to generate clean form of electricity through renewable solar energy source. Fortum FinnSurya Energy Pvt. Ltd. is the promoter of the proposed project activity. The project activity involves installation of 12 MWp (10 MW AC) solar power project at Ujjain, Madhya Pradesh.",India,IN,Gold Standard for the Global Goals,Fortum India Private Limited,Small Scale,Solar Thermal - Electricity,2023-05-02 - 2028-05-01,GOLD_STANDARD_CERTIFIED_PROJECT,AMS-I.D. Grid connected renewable electricity generation,19374,N/A,N/A,https://platform.sustain-cert.com/public-project/1456
11 35 MW bundled renewable energy based power generation by Interocean Group,"The project activity has been undertaken to harness the available wind/solar power potential to generate clean power Madhya Pradesh, Maharashtra and Karnataka. The project activity will install and operate 5 number of sophisticated, state-of art Wind Turbine Generators (WTG) consisting of 3*2000kW, 1*1500kW and 1*850kW with installed capacity of 8.35 MW and 3MW solar PV based power generation project with aggregated installed capacity of bundle as 11.35 MW. The project will generate approximately 21234MWh of electricity per annum, which will be sold to state electricity board of Madhya Pradesh, Maharashtra and Karnataka states of India. The WTGs in state of Madhya Pradesh and Maharashtra are connected to NEWNE regional grid and 3 MW solar PV in Karnataka State is connected to Southern regional grid of India. The project activity will displace approximately 4599MWh from Southern Grid and 16635MWh from NEWNE grid. The project activity will help in green house gas (GHG) emission reduction by using renewable resources (wind energy) for generating power which otherwise would have been generated using grid mix power plants, which is dominated by fossil fuel based thermal power plants.",India,IN,Gold Standard for the Global Goals,Interocean Group,Small Scale,Solar Thermal - Electricity,2017-09-01 - 2024-08-31,GOLD_STANDARD_CERTIFIED_PROJECT,AMS-I.D. Grid connected renewable electricity generation,20766,N/A,N/A,https://platform.sustain-cert.com/public-project/1454
Silopi Micro Scale Solar PV Project,"The project is a greenfield renewable energy plant and will use photovoltaic panels to produce electricity from solar power. The total installed capacity of the project will be equal to 7.0 MWe/7.6 MWp. The photovoltaic panels will produce 15,000,000 kWh/year electricity in Silopi SPP. The project is located in one of the least developed regions in Turkey and will be the first of its kind both in the region and in the host country.Project will create local employment both during construction and during the operation.",Turkey,TR,Gold Standard for the Global Goals,Park Holding,Microscale,Solar Thermal - Electricity,2014-09-01 - 2024-08-31,LISTED,,9075,N/A,N/A,https://platform.sustain-cert.com/public-project/1453
Orb Energy Solar Program in India PoA,"The purpose of this Gold Standard Program is dissemination of solar thermal (water heating) and electrical (lighting and other needs) systems in rural and urban/semi-urban areas in various states of India. The proposed Program through dissemination of solar water heaters (SWH) and solar photovoltaics based electrical systems (SPV) will utilize the energy from the sun and convert it into thermal and electrical energy respectively to replace the fossil fuel that would have been used otherwise to meet equivalent energy demands in the baseline. The households/SMEs in India meet their energy needs from grid electricity, kerosene, LPG, diesel and wood (non-renewable) for electrical and thermal energy needs. The energy baseline is the fossil/non renewable fuel consumption that would have been used in the absence of the project activity to generate the equivalent quantity of energy needed for electric and thermal applications per household/facility. Thus, replacement of fossil fuel usage will contribute towards reducing equivalent GHG emissions. By 2020, Orb envisages an installation target of more than 500,000 households/facilities",India,IN,Gold Standard for the Global Goals,Orb Energy Private Limited,Small Scale,Solar Thermal - Electricity,2021-05-03 - 2026-05-02,GOLD_STANDARD_CERTIFIED_DESIGN,AMS-I.C. Thermal energy production with or without electricity,0,N/A,N/A,https://platform.sustain-cert.com/public-project/1452
Orb Energy Solar Program In India VPA01,"The purpose of this VPA is dissemination of solar thermal (water heating) and electrical (lighting and other needs) systems in rural and urban/semi-urban areas in various states of India. The proposed VPA through dissemination of solar water heaters (SWH) and solar photovoltaics based electrical systems (SPV) will utilize the energy from the sun and convert it into thermal and electrical energy respectively to replace the fossil fuel that would have been used otherwise to meet equivalent energy demands in the baseline. The households/SMEs in India meet their energy needs from grid electricity, kerosene, LPG, diesel and wood (non-renewable) which are used as energy sources for electrical and thermal energy needs. The energy baseline is the fossil/non renewable fuel consumption that would have been used in the absence of the project activity to generate equivalent quantity of energy needed for electric and thermal applications per household/facility. Thus, replacement of fossil fuel usage will contribute towards reducing equivalent GHG emissions.",India,IN,Gold Standard for the Global Goals,Orb Energy Private Limited,Small Scale,Solar Thermal - Electricity,2014-05-03 - 2024-05-02,GOLD_STANDARD_CERTIFIED_PROJECT,AMS-I.C. Thermal energy production with or without electricity,22628,4289,1349,https://platform.sustain-cert.com/public-project/1451
Bagepalli CDM Reforestation Programme,"The purpose of A/R project activity “Bagepalli CDM Reforestation Programme"" is implementation of reforestation activity on the degraded agricultural land of 5 taluks of Chickballapur District of Karnataka, India. These lands are currently private uncultivable lands, fallow lands or marginal croplands belonging to farmers. They are all highly degraded. The majority of the lands are uncultivable or their productivity is very low due to scarcity of water resources and poor soil conditions for agriculture. The lands belong to the poorest farmers and agricultural labourers in the region who have had to make do with acquiring the worst kind of lands. Seasonal conditions have been the major factor causing fluctuation in the area under cultivation. The periodic drought and recurring scarcity have made any kind of land-based activity including agriculture very difficult.",India,IN,Gold Standard for the Global Goals,Agricultural Development and Training Society,Small Scale,A/R,2013-05-06 - 2023-05-06,GOLD_STANDARD_CERTIFIED_PROJECT,Afforestation/Reforestation GHG Emissions Reduction & Sequestration Methodology,92103,N/A,N/A,https://platform.sustain-cert.com/public-luf-project/2811
Pico Solar Home Systems Ethiopia,Solar Home Systems for rural households in Ethiopia,Ethiopia,ET,Gold Standard for the Global Goals,atmosfair gGmbH,Microscale,Solar Thermal - Electricity,2015-04-01 - 2022-03-31,LISTED,AMS-I.A. Electricity generation by the user,5000,N/A,N/A,https://platform.sustain-cert.com/public-project/1449
Solar Lighting in Rural Kenya VPA 2,"The objective of this ‘Solar Lighting in Rural Areas – VPA 2’ is to replace low-quality and carbon dioxide emitting kerosene lamps, which are currently the prevalent form of lighting in rural Kenya, with high quality solar PV lighting systems. The project is implemented by Sun Transfer Kenya.
The VPA 2 is developed within the country of Kenya. The distribution of SHS depends on the beneficiaries being qualified through the eligibility criteria for this VPA defined on the VPoA level and on market demand. The employed technology is solar home systems that come with different number of lightings, with others providing for mobile phone charging and other services.
The programme will claim carbon credits from emission reductions resulting from the installation and use of new product technologies that displace fossil fuel use. Carbon finance will be invested in activities that facilitate project scale-up to reach remote locations as well as local partner capacity building, developing marketing and outreach resources, and enhancing distribution channels. ",Kenya,KE,Gold Standard for the Global Goals,myclimate Foundation,Micro scale,Solar Thermal - Electricity,2017-06-06 - 2027-06-05,GOLD_STANDARD_CERTIFIED_PROJECT,AMS-I.A. Electricity generation by the user,10000,911,1389,https://platform.sustain-cert.com/public-project/1448
ASYV 8 5MW Solar PV Project CPA 001,"The ASYV 8.5MW Solar PV project (CPA-001) forms part of the Gigawatt Global Programme of Activities, which seeks to promote grid connected renewable energy projects in Rwanda. The CPA falls under CPA type I “Greenfield small-scale solar PV power plants/units in Rwanda applying automatic additionality”, which is one of the five CPA types eligible for inclusion under the PoA.
The CPA has installed a new renewable energy power plant at a site where none existed prior to the implementation of the project activity (Greenfield plant). The CPA is located in Rwamagana District, Rubona Sector, Karambi cell at the Agahozo-Shalom Youth Village (ASYV), approximately nine kilometres from the main Kigali-Kagitumba highway. The site is about 50km from Kigali, Rwanda’s capital.
The CPA uses solar photovoltaic (PV) modules with a single axis tracking system. The CPA has a peak output capacity of 8.5 MWp consisting of 28,360 solar PV modules and covering 16 hectares.
The project was commissioned on 18 September 2014 and has been operational since then.",Rwanda,RW,v2.2 CASH,Gigawatt Global Cooperatief U.A.,Small Scale,Solar Thermal - Electricity,2015-10-23 - 2022-10-22,GOLD_STANDARD_CERTIFIED_PROJECT,AMS-I.D. Grid connected renewable electricity generation,9012,3587,1341,https://platform.sustain-cert.com/public-project/1447
Gigawatt Global Programme of Activities,"The purpose of the Gigawatt Global Programme of Activities (hereafter referred as the PoA) is to support the development and implementation of utility scale solar photovoltaic (PV) projects in Rwanda, thereby displacing grid-connected, fossil fuel based electricity generation, by promoting grid-connected renewable energy based electricity generation. As such, the PoA will contribute in reduction of greenhouse gas (GHG) emissions.",Rwanda,RW,2.2,Gigawatt Global Cooperatief U.A.,Large scale,Solar Thermal - Electricity,2016-01-01 - 2022-12-31,GOLD_STANDARD_CERTIFIED_DESIGN,ACM0002 Grid-connected electricity generation from renewable sources,0,N/A,N/A,https://platform.sustain-cert.com/public-project/1446
Panasolar Photovoltaic Project,"The project consists of the construction, installation, operation and maintenance of a newly installed photovoltaic panels for the production of electricity through solar energy. This energy is captured by photovoltaic modules, with an installed capacity of 9.9 MW. These panels are placed on fixed structures anchored to the ground. The project activity will connect to the 34.5 KV substation in Llano Sanchez, via a covered transmission line known in Panama as “ecological cable"" because it does not require for trees to be cut or trimmed where the lines passes. Once the line reaches the substation, it connects to the national electrical grid, know as Empresa de Trasmisio´n Ele´ctrica, S.A. (ETESA).The project has an expected lifetime of 25 years.",Panama,PA,v2.2 CASH,Panasolar Generation,Small Scale,Solar Thermal - Electricity,2018-06-01 - 2025-05-31,GOLD_STANDARD_CERTIFIED_DESIGN,AMS-I.D. Grid connected renewable electricity generation,10322,N/A,N/A,https://platform.sustain-cert.com/public-project/1445
ACP Sustainable Forest Cover Establishment Project,"The Panama Canal authority (ACP) is implementing the PIEA project (Programa de Incentivos Económicos Ambientales, Environmental Economic Incentives Program) focused on promoting forest restoration, forest and biodiversity conservation, and alternative livelihood through reforestation, as well as silvo-pastoral and agro-forestry systems. The project will cover approximately 10,000 hectares of degraded lands (formerly pasture grassland with low carrying capacity). The forest cover establishment project has been implemented annually since 2006 and is expected continue. So far, 2985 ha of reforestation projects, agro-forestry and silvo-pastoral systems have been established in the project area.The activities and targets under the project are reforestation with commercial and native species, the establishment of agro-forestry and silvo-pastoral systems. All components cover the whole range of operations from nursery establishment and seedling production to planting and maintaining the seedlings. Project activities are expected to improve ecosystems services and provide an alternative source of income to unsustainable practices and abandoned land.Further, the project will help to control the invasive grass specie saccharum spontaneum and will protect the main watersheds form the area to guaranty that enough water is being supply to the Panama Canal.",Panama,PA,Gold Standard for the Global Goals,Autoridad del Canal de Panama (ACP),Small Scale,A/R,2014-08-05 - 2019-08-05,GOLD_STANDARD_CERTIFIED_PROJECT,Afforestation/Reforestation GHG Emissions Reduction & Sequestration Methodology,17024,N/A,N/A,https://platform.sustain-cert.com/public-luf-project/2810
Qinghai Delingha Xiehe Phase II and Phase III Bundled Solar PV Power Generation Project,"Qinghai Delingha Xiehe Phase II and Phase III Bundled Solar PV Power Generation Project (hereafter referred to as the Project) ,is located in the west of Delingha City, Qinghai Province, P. R. of China, invested by Delingha Xiehe Solar PV Power Generation Co., Ltd.. For Phase II: The purpose of Phase II is to install 68,035 pieces of the polycrystalline silicon solar cell modules with unit capacity of 295Wp to generate clean renewable electricity with zero emissions. The total installed capacity is 20.0703MWp. It is estimated that the average annual feed-in electricity from Phase II is approximately 31.7416GWh . The electricity generated by Phase II is supplied to Northwest China Power Grid (NWPG). Phase II will achieve greenhouse gas (GHG) emission reductions of 27,198tCO2e annually and total GHG emission reductions are 190,386tCO2e for the first crediting period by displacing power generation of those fossil fuel-fired power plants connected into the NWPG under the baseline scenario.For Phase III:The purpose of Phase III is to install 67,840 pieces of the polycrystalline silicon solar cell modules with unit capacity of 295Wp to generate clean renewable electricity with zero emissions. The total installed capacity is 20.0128MWp. It is estimated that the average annual feed-in electricity from the Project is approximately 31.56789GWh . The electricity generated by Phase III is supplied to Northwest China Power Grid (NWPG).Phase II will achieve greenhouse gas (GHG) emission reductions of 27,049tCO2e annually and total GHG emission reductions are 189,343tCO2e for the first crediting period by displacing power generation of those fossil fuel-fired power plants connected into the NWPG under the baseline scenario.For the Project: a) The scenario existing prior to the implementation of the Project is that the quantity of net electricity generation by the Project will be generated by other grid-connected power plant or provided by newly added power sources in the NWPG.b) The baseline scenario is the same as the scenario existing prior to the start of implementation of the Project.",China,CN,2.2,"Goldchina Consultancy International Co., Ltd",Large scale,Solar Thermal - Electricity,2013-03-13 - 2020-03-12,GOLD_STANDARD_CERTIFIED_PROJECT,ACM0002 Grid-connected electricity generation from renewable sources,54247,N/A,N/A,https://platform.sustain-cert.com/public-project/1442
Qinghai Shineng Gonghe 30MWp Grid connected PV Power Generation Project,"Qinghai Shineng Gonghe 30MWp Grid-connected PV Power Generation Project (hereafter referred to as the Project) is located in Qiabuqia Town, Gonghe County, Hainan Tibetan Autonomous Prefecture, Qinghai Province, P. R. of China, invested by Hainan Prefecture Shineng Photovoltaic Power Generation Co., Ltd.The purpose of the Project is to install 101,760 pieces of the polycrystalline silicon solar cell modules with unit capacity of 295Wp to generate clean renewable electricity with zero emissions. The total installed capacity of the Project is 30.0192MWp. It is estimated that the average annual feed-in electricity from the Project is approximately 48,509MWh  per year. The electricity generated by the Project is supplied to Northwest China Power Grid (NWPG). For the Project: a) The scenario existing prior to the implementation of the proposed project is that the quantity of net electricity generation by the Project will be generated by other grid-connected power plant or provided by newly added power sources in the NWPG.b) The baseline scenario is the same as the scenario existing prior to the start of implementation of the project activity. The Project will achieve greenhouse gas (GHG) emission reductions of 41,566tCO2e annually and total GHG emission reductions are 290,962tCO2e for the first crediting period by displacing power generation of those fossil fuel-fired power plants connected into the NWPG under the baseline scenario.",China,CN,Gold Standard for the Global Goals,"Goldchina Consultancy International Co., Ltd",Large scale,Solar Thermal - Electricity,2014-06-30 - 2020-06-29,LISTED,ACM0002 Grid-connected electricity generation from renewable sources,41566,N/A,N/A,https://platform.sustain-cert.com/public-project/1441
Qinghai Delingha Xiehe Solar PV Power Generation Project,"Qinghai Delingha Xiehe Solar PV Power Generation Project (hereafter referred to as the Project) is located in Delingha City, Qinghai Province, P. R. of China, invested by Delingha Xiehe Solar PV Power Generation Co., Ltd.. The geographical coordinates of the central point of the Project is east longitude of 97°10'23.7"" and north latitude of 37°21'10.29"".The purpose of the Project is the generation of electricity from solar and the supply of this electricity to the Northwest China Power Grid (NWPG). The Project is to install and operate 128,400 solar cell modules with a capacity of 235Wp each. Therefore, the Project scenario is the installation of 30.174MWp of renewable energy power generation capacity, and the supply to the Grid of 48,084.39MWh (average value for the 25 operational years) of electricity generated from renewable energy. In accordance with the methodology there are no project emissions.In the baseline scenario, which is the same as the scenario existing prior to the implementation of the Project, the facilities, systems and equipment in operation are all power plants connected physically to the electricity system that the CDM project power plant is connected to.As NWPG is dominated by fossil fuel-fired power generation, the establishment of the Project will lead to greenhouse gas (GHG) emission reductions. Following the methodology, the emission reductions are estimated to be on average 46,530 tones of CO2 equivalent (tCO2e) per year, and 325,711tCO2e over the first 7-years crediting period.The Project start date: 05/07/2011 (The starting date of the Project is the date of the first contract.)The Project was successfully registered as CDM project (ref no.7962) on 02/11/2012, the additionality of the Project was fully demonstrated in the registered PDD and validated by the DOE, detailed information please refer to http://cdm.unfccc.int/Projects/DB/BVQI1351691848.52/view.",China,CN,2.2,"Goldchina Consultancy International Co., Ltd",Large scale,Solar Thermal - Electricity,2012-11-01 - 2019-11-01,GOLD_STANDARD_CERTIFIED_DESIGN,ACM0002 Grid-connected electricity generation from renewable sources,41202,N/A,N/A,https://platform.sustain-cert.com/public-project/1440
Afforestation on the Big Island of Hawaii Restoring native hardwood forests and enhancing multiple ecosystem services,"This 1200-acre project will restore a biodiverse native forest on land that was part of a cattle ranch on the northern slopes of Mauna Kea, Hawai`i. It focuses on the keystone species of the natural forest ecosystem, Acacia koa (koa).  Koa will be planted in a biodiverse native species mixture for conservation on 75% of the area and as a timber production monoculture on 25% of the area.  Approximately 125,000 carbon certificates are expected to be created in this project’s 50-year crediting period.  Critical habitat will be restored for endangered animals and plant species that have been absent from the site for decades will be reintroduced.",United States,US,Gold Standard for the Global Goals,HLH,Small Scale,A/R,2014-06-09 - 2019-06-09,GOLD_STANDARD_CERTIFIED_PROJECT,Afforestation/Reforestation GHG Emissions Reduction & Sequestration Methodology,10000,N/A,N/A,https://platform.sustain-cert.com/public-luf-project/2807
Dongdongtan 9MWp Solar PV Project,"Dongdongtan 9MWp Solar PV Project (hereafter referred to as the Project) is located in Dongdogtan Area, Suzhou District, Jiuquan City,Gansu Province, P. R. of China, invested by Three Gorges New Energy Jiuquan Power Generation Co., Ltd.The purpose of the Project is to install 36,036 pieces of the polycrystalline silicon solar cell modules with unit capacity of 250Wp to generate clean renewable electricity with zero emissions. The actual installed capacity of the Project is 9.009MWp. It is estimated that the feed-in electricity from the Project is approximately 14,440MWh per year. The electricity generated by the Project is supplied to Northwest China Power Grid (NWPG). For the proposed project: a) The scenario existing prior to the implementation of the proposed project is that the quantity of net electricity generation by the Project will be generated by other grid-connected power plant or provided by newly added power sources in the NWPG.b) The baseline scenario is the same as the scenario existing prior to the start of implementation of the project activity. The Project will achieve greenhouse gas (GHG) emission reductions of 12,373tCO2e annually and the total GHG emission reductions 86,611tCO2e for the first crediting period.",China,CN,Gold Standard for the Global Goals,Climate Bridge (Shanghai) Ltd.,Small Scale,Solar Thermal - Electricity,2020-12-08 - 2027-12-07,GOLD_STANDARD_CERTIFIED_PROJECT,AMS-I.D. Grid connected renewable electricity generation,11253,N/A,N/A,https://platform.sustain-cert.com/public-project/1437
Ulan Phase II 10MWp Solar PV Project,"Ulan Phase II 10MWp Solar PV Project (hereafter referred to as the Project) is located in Keke Town, Ulan County, Haixi Mongol and Tibetan Autonomous Prefecture,Qinghai Province, P. R. of China, invested by Ulan Jinfeng New Energy Photovoltaic Power Generation Co., Ltd.The purpose of the Project is to install 41,440 pieces of the polycrystalline silicon solar cell modules with unit capacity of 250Wp to generate clean renewable electricity with zero emissions. The actual installed capacity of the Project is 10.36MWp. It is estimated that the feed-in electricity from the Project is approximately 16,103.7MWh per year. The electricity generated by the Project is supplied to Northwest China Power Grid (NWPG). For the proposed project: a) The scenario existing prior to the implementation of the proposed project is that the quantity of net electricity generation by the Project will be generated by other grid-connected power plant or provided by newly added power sources in the NWPG.b) The baseline scenario is the same as the scenario existing prior to the start of implementation of the project activity. The Project will achieve greenhouse gas (GHG) emission reductions of 13,798tCO2e annually and the total GHG emission reductions 96,586tCO2e for the first crediting period.",China,CN,Gold Standard for the Global Goals,Climate Bridge (Shanghai) Ltd.,Small Scale,Solar Thermal - Electricity,2020-12-20 - 2027-12-19,GOLD_STANDARD_CERTIFIED_PROJECT,AMS-I.D. Grid connected renewable electricity generation,13798,N/A,N/A,https://platform.sustain-cert.com/public-project/1436
Huili Shubaoxiang Solar PV Power Generation Phase I Project,"Huili Shubaoxiang Solar PV Power Generation Phase I Project (hereafter referred to as the Project) is located in Dahei Mountain, Shubao Town, Huili County, Liangshan Prefecture, Sichuan Province, P. R. of China, invested by Three Gorges New Energy Huili Zhongyi Power Generation Co., Ltd..The installed capacity of the Project is 10MWp. It is estimated that the feed-in electricity from the Project is approximately 13,478MWh per year. The electricity generated by the Project is supplied to Central China Power Grid (CCPG). Prior to the implementation of the Project, the electricity delivered to the grid by the project activity would have otherwise been generated by the operation of grid-connected power plants and by the addition of new generation sources into the grid, which is same as the baseline scenario of the Project. The Project will achieve greenhouse gas (GHG) emission reductions of 11,566tCO2e annually and the total GHG emission reductions 80,962tCO2e for the first crediting period.",China,CN,Gold Standard for the Global Goals,Climate Bridge (Shanghai) Ltd.,Small Scale,Solar Thermal - Electricity,2020-12-26 - 2027-12-25,GOLD_STANDARD_CERTIFIED_PROJECT,AMS-I.D. Grid connected renewable electricity generation,9641,N/A,N/A,https://platform.sustain-cert.com/public-project/1435
Tailai Tangchi Solar PV Power Generation Project,"Tailai Tangchi Solar PV Power Generation Project (hereafter referred to as the Project) is located in Tangchi Town, Tailai County, Qiqihar City, Heilongjiang Province, P. R. of China, invested by Three Gorges New Energy Tailai  Power Generation Co., Ltd..The purpose of the Project is to install 40,720 pieces of the polycrystalline silicon solar cell modules with unit capacity of 250Wp to generate clean renewable electricity with zero emissions. The actual installed capacity of the Project is 10.18MWp. It is estimated that the average feed-in electricity from the Project is approximately 13,426.03MWh per year. The electricity generated by the Project is supplied to Northeast China Power Grid (NEPG). Prior to the implementation of the Project, the electricity delivered to the grid by the project activity would have otherwise been generated by the operation of grid-connected power plants and by the addition of new generation sources into the grid, which is same as the baseline scenario of the Project. The Project will achieve greenhouse gas (GHG) emission reductions of 13,250tCO2e annually and the total GHG emission reductions 92,750tCO2e for the first crediting period.",China,CN,Gold Standard for the Global Goals,Climate Bridge (Shanghai) Ltd.,Small Scale,Solar Thermal - Electricity,2022-01-19 - 2029-01-18,GOLD_STANDARD_CERTIFIED_PROJECT,AMS-I.D. Grid connected renewable electricity generation,11706,N/A,N/A,https://platform.sustain-cert.com/public-project/1434
Shuangliao Solar PV Power Generation Project,"Shuangliao Solar PV Power Generation Project (hereafter referred to as the Project) is located in Meili village, Maolin Town, Shuangliao City, Jilin Province, P. R. of China, invested by Three Gorges New Energy (Shuangliao) Qingda Power Generation Co., Ltd..The purpose of the Project is to install 10,200 pieces of the polycrystalline silicon solar cell modules with unit capacity of 235Wp, 2,760 pieces of the polycrystalline silicon solar cell modules with unit capacity of 240Wp and 28,980 pieces of the polycrystalline silicon solar cell modules with unit capacity of 245Wp to generate clean renewable electricity with zero emissions. The actual installed capacity of the Project is 10.1595MWp. It is estimated that the feed-in electricity from the Project is approximately 13,068.2MWh per year. The electricity generated by the Project is supplied to Northeast China Power Grid (NEPG). Prior to the implementation of the Project, the electricity delivered to the grid by the project activity would have otherwise been generated by the operation of grid-connected power plants and by the addition of new generation sources into the grid, which is same as the baseline scenario of the Project. The Project will achieve greenhouse gas (GHG) emission reductions of 12,897tCO2e annually and the total GHG emission reductions 90,279tCO2e for the first crediting period.",China,CN,Gold Standard for the Global Goals,Climate Bridge (Shanghai) Ltd.,Small Scale,Solar Thermal - Electricity,2020-09-28 - 2027-09-27,GOLD_STANDARD_CERTIFIED_PROJECT,AMS-I.D. Grid connected renewable electricity generation,12897,N/A,N/A,https://platform.sustain-cert.com/public-project/1433
